Zaloznik,zanr1,zanr2,esbr
Capcom,Action Adventure,General,M
Vicarious,First-Person,Sci-Fi,M
EA,Football,Sim,E
EA,Soccer,Sim,E
Z,Alternative,Skating,T
EA,Formula One,Automobile,E
Namco,3D,3D,T
Davey,First-Person,Modern,
Mega,Turn-Based,Card Battle,
2K,Sci-Fi,Arcade,M
Kush,Ice Hockey,Sim,E
Nintendo,Platformer,2D,E
2K,Sci-Fi,Arcade,M
Valve,Modern,Modern,M
Intelligent,Turn-Based,Fantasy,E
Intelligent,Turn-Based,Tactics,T
Firaxis,Turn-Based,4X,
EA,First-Person,Tactical,M
Blizzard,General,Command,T
Blizzard,Action RPG,Action RPG,M
Moppin,Action,General,
BlitWorks,Action Adventure,General,
Capcom,Role-Playing,Action RPG,T
EA,Boxing,Combat,T
Blizzard,Role-Playing,Action RPG,M
Oddworld,Action Adventure,Sci-Fi,T
Big,General,Historic,T
Firaxis,General,General,E
EA,Modern,Arcade,M
CCP,Compilation,Sci-Fi,T
Image,Platformer,2D,
